B::MMU.List.PageTable_0xfffff80000000000--0xfffff80400000000
__________________address________________|_physical________________________________|sec|_d_|_size____|_permissions____________________|_glb|_shr|_pageflags_(remapped)___________|
     C:FFFFF8010B834000--FFFFF8010B834FFF|     I:00000000FE183000--00000000FE183FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B835000--FFFFF8010B835FFF|     I:00000000FE182000--00000000FE182FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B836000--FFFFF8010B836FFF|     I:00000000FE181000--00000000FE181FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B837000--FFFFF8010B837FFF|     I:00000000FE180000--00000000FE180FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B838000--FFFFF8010B838FFF|     I:00000000FE17F000--00000000FE17FFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B839000--FFFFF8010B839FFF|     I:00000000FE17E000--00000000FE17EFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B83A000--FFFFF8010B83AFFF|     I:00000000FE17D000--00000000FE17DFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B83B000--FFFFF8010B83BFFF|     I:00000000FE17C000--00000000FE17CFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B83C000--FFFFF8010B83CFFF|     I:00000000FE17B000--00000000FE17BFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B83D000--FFFFF8010B83DFFF|     I:00000000FE17A000--00000000FE17AFFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B83E000--FFFFF8010B83EFFF|     I:00000000FE179000--00000000FE179FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B83F000--FFFFF8010B83FFFF|     I:00000000FE178000--00000000FE178FFF| ns|   | 00001000| P:readwrite U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B840000--FFFFF8010B840FFF|     I:00000000FE177000--00000000FE177FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B841000--FFFFF8010B841FFF|     I:00000000FE176000--00000000FE176FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B842000--FFFFF8010B842FFF|     I:00000000FE175000--00000000FE175FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B843000--FFFFF8010B843FFF|     I:00000000FE174000--00000000FE174FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B844000--FFFFF8010B844FFF|     I:00000000FE173000--00000000FE173FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B845000--FFFFF8010B845FFF|     I:00000000FE172000--00000000FE172FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B846000--FFFFF8010B846FFF|     I:00000000FE171000--00000000FE171FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B847000--FFFFF8010B847FFF|     I:00000000FE170000--00000000FE170FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B848000--FFFFF8010B848FFF|     I:00000000FE16F000--00000000FE16FFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B849000--FFFFF8010B849FFF|     I:00000000FE16E000--00000000FE16EFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B84A000--FFFFF8010B84AFFF|     I:00000000FE16D000--00000000FE16DFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B84B000--FFFFF8010B84BFFF|     I:00000000FE16C000--00000000FE16CFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B84C000--FFFFF8010B84CFFF|     I:00000000FE16B000--00000000FE16BFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B84D000--FFFFF8010B84DFFF|     I:00000000FE16A000--00000000FE16AFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B84E000--FFFFF8010B84EFFF|     I:00000000FE169000--00000000FE169FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B84F000--FFFFF8010B84FFFF|     I:00000000FE168000--00000000FE168FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B850000--FFFFF8010B850FFF|     I:0000000022A97000--0000000022A97FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B851000--FFFFF8010B851FFF|     I:00000000266C6000--00000000266C6FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B852000--FFFFF8010B852FFF|     I:0000000026455000--0000000026455FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B853000--FFFFF8010B853FFF|     I:000000003CFB4000--000000003CFB4FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B854000--FFFFF8010B854FFF|     I:000000003DCA3000--000000003DCA3FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B855000--FFFFF8010B855FFF|     I:00000000264A2000--00000000264A2FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B856000--FFFFF8010B856FFF|     I:000000003DCA1000--000000003DCA1FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B857000--FFFFF8010B857FFF|     I:000000003CF20000--000000003CF20FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B858000--FFFFF8010B858FFF|     I:00000000263CF000--00000000263CFFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B859000--FFFFF8010B859FFF|     I:0000000025FFE000--0000000025FFEFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B85A000--FFFFF8010B85AFFF|     I:000000003DC9D000--000000003DC9DFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B85B000--FFFFF8010B85BFFF|     I:0000000084D9C000--0000000084D9CFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B85C000--FFFFF8010B85CFFF|     I:0000000084D9B000--0000000084D9BFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B85D000--FFFFF8010B85DFFF|     I:00000000219DF000--00000000219DFFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B85E000--FFFFF8010B862FFF|     I:00000000219D0000--00000000219D4FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B863000--FFFFF8010B863FFF|     I:00000000219E4000--00000000219E4FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B864000--FFFFF8010B864FFF|     I:00000000219E3000--00000000219E3FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B865000--FFFFF8010B865FFF|     I:00000000219E2000--00000000219E2FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B866000--FFFFF8010B866FFF|     I:00000000FE151000--00000000FE151FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B867000--FFFFF8010B867FFF|     I:00000000FE150000--00000000FE150FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B868000--FFFFF8010B868FFF|     I:00000000FE14F000--00000000FE14FFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B869000--FFFFF8010B869FFF|     I:00000000FE14E000--00000000FE14EFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B86A000--FFFFF8010B86AFFF|     I:00000000FE14D000--00000000FE14DFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B86B000--FFFFF8010B86BFFF|     I:00000000FE14C000--00000000FE14CFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B86C000--FFFFF8010B86CFFF|     I:00000000FE14B000--00000000FE14BFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B86D000--FFFFF8010B86DFFF|     I:00000000FE14A000--00000000FE14AFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B86E000--FFFFF8010B86EFFF|     I:00000000FE149000--00000000FE149FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B86F000--FFFFF8010B86FFFF|     I:00000000FE148000--00000000FE148FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B870000--FFFFF8010B870FFF|     I:00000000219E7000--00000000219E7FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B871000--FFFFF8010B871FFF|     I:00000000FE146000--00000000FE146FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B872000--FFFFF8010B872FFF|     I:00000000FE145000--00000000FE145FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B873000--FFFFF8010B873FFF|     I:00000000FE144000--00000000FE144FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B874000--FFFFF8010B874FFF|     I:00000000FE143000--00000000FE143FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B875000--FFFFF8010B875FFF|     I:00000000FE142000--00000000FE142FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B876000--FFFFF8010B876FFF|     I:00000000FE141000--00000000FE141FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B877000--FFFFF8010B877FFF|     I:00000000FE140000--00000000FE140FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B878000--FFFFF8010B878FFF|     I:00000000FE13F000--00000000FE13FFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B879000--FFFFF8010B879FFF|     I:00000000FE13E000--00000000FE13EFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B87A000--FFFFF8010B87AFFF|     I:00000000FE13D000--00000000FE13DFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B87B000--FFFFF8010B87BFFF|     I:00000000FE13C000--00000000FE13CFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B87C000--FFFFF8010B87CFFF|     I:00000000FE13B000--00000000FE13BFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B87D000--FFFFF8010B87DFFF|     I:00000000FE13A000--00000000FE13AFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B87E000--FFFFF8010B87EFFF|     I:00000000FE139000--00000000FE139FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B87F000--FFFFF8010B87FFFF|     I:00000000FE138000--00000000FE138FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B880000--FFFFF8010B880FFF|     I:00000000FE137000--00000000FE137FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B881000--FFFFF8010B881FFF|     I:00000000FE136000--00000000FE136FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B882000--FFFFF8010B882FFF|     I:00000000FE135000--00000000FE135FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B883000--FFFFF8010B883FFF|     I:00000000FE134000--00000000FE134FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B884000--FFFFF8010B884FFF|     I:00000000FE133000--00000000FE133FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B885000--FFFFF8010B885FFF|     I:00000000FE132000--00000000FE132FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B886000--FFFFF8010B886FFF|     I:00000000FE131000--00000000FE131FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B887000--FFFFF8010B887FFF|     I:00000000FE130000--00000000FE130FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B888000--FFFFF8010B888FFF|     I:00000000FE12F000--00000000FE12FFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B889000--FFFFF8010B889FFF|     I:00000000FE12E000--00000000FE12EFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88A000--FFFFF8010B88AFFF|     I:00000000FE12D000--00000000FE12DFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88B000--FFFFF8010B88BFFF|     I:00000000FE12C000--00000000FE12CFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88C000--FFFFF8010B88CFFF|     I:00000000FE12B000--00000000FE12BFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88D000--FFFFF8010B88DFFF|     I:00000000FE12A000--00000000FE12AFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88E000--FFFFF8010B88EFFF|     I:00000000FE129000--00000000FE129FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B88F000--FFFFF8010B88FFFF|     I:00000000FE128000--00000000FE128FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B890000--FFFFF8010B890FFF|                                         |   |   |         |                                |    |    |                                |
     C:FFFFF8010B891000--FFFFF8010B891FFF|     I:00000000FE126000--00000000FE126FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B892000--FFFFF8010B892FFF|     I:00000000FE125000--00000000FE125FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
